SCAC,Carrier Name,Carrier Type
AETO,A & E TRUCKING CO,TL
PYLE,A DUIE PYLE INC,TL
AACT,AAA COOPER TRANSPORTATION,TL
ABFS,ABF FREIGHT SYSTEM INC,TL
ACXS,ACTION EXPRESS INC,TL
AEFC,AMERICAN FREIGHT CARRIER SERV,TL
ARFW,AMERICAN FREIGHTWAYS INC,TL
APAC,A-P-A TRANSPORT,LTL
BSWS,BESTWAY SYSTEMS INC,TL
BCK1,BUCKEYE TRANSPORTATION,LTL
BEXT,BULLOCKS EXPRESS TRANS INC,LTL
BNAF,BURLINGTON AIR EXPRESS,AIR
CTI1,CAIN TRUCKING INC,TL
CAAE,CAMPBELLS EXPRESS,LTL
CFFW,CARTER & SONS FREIGHTWAYS INC,LTL
CLBT,CLARK BROS TRANSFER INC,TL
CTPL,COLLINS TRANSPORT SERVICE INC,LTL
CFRI,CONDOR FREIGHT LINES,SP
CFWY,CONSOLIDATED FREIGHTWAYS,TL
COTA,CONTRACT TRANSPORT SERVICES,LTL
CWCE,CON-WAY CENTRAL EXPRESS,TL
CWNO,CON-WAY NOW,TL
CWSE,CON-WAY SOUTHERN EXPRESS,LTL
CWWE,CON-WAY WESTERN EXPRESS,TL
CEXP,CORPORATE EXPRESS DELIVERY,LTL
CVEN,COVENANT TRANSPORT,SP
CRNT,CRESCENT TRUCK LINES INC,LTL
CRCR,CRETE CARRIER CORP,TL
CRSE,CROUSE CARTAGE,TL
CRST,CRST LOGISTICS,TL
DTST,DATS TRUCKING INC,TL
DECF,DEDICATED FLEET,TL
DLPL,DOLPHIN LINE INC,TL
EJP1,E J PETER TRUCKING,SP
EUSA,EAGLE USA AIRFREIGHT,AIR
EAG1,EAGLEFREIGHT SERVICES INC,LTL
EMEA,EMERY WORLDWIDE,TL
EPSG,EPES EXPRESS,TL
EXLA,ESTES EXPRESS LINES INC,LTL
FAKF,FAK FREIGHTWAYS,TL
FMWT,FOX MIDWEST,LTL
FTPC,FRONTIER TRANSPORT CORP,TL
HSFX,HAWAIIAN EXPRESS SERVICE INC,AIR
HOCE,HOC EXPRESS INC,SP
HRZM,HORIZON DISTRIBUTION LOGISTICS,TL
MER1,HOT SHOT EXPRESS INC,TL
HUOS,HOUSE OF SERVICE TRANS INC,TL
HOXP,HOWARD'S EXPRESS INC.,TL
HUBC,HUB CITY CLEVELAND TERMINALS,LTL
HJBT,JB HUNT TRANSPORT INC,TL
JEVC,JEVIC TRANSPORTATION,LTL
KMAN,KUNTZMAN TRUCKING INC,TL
LHT1,L & H TRUCKING,TL
LNDA,LANDAIR TRANSPORT INC,LTL
LSHK,LOGISTICS SERVICE (USA) CO INC,SP
MSCC,M S CARRIERS,TL
MAND,MANFREDI MOTOR TRANSIT,LTL
MHT1,MANHATTAN TRANSFER,TL
VERN,MARSH FASTFREIGHT,SP
MFAF,MATHESON FAST FREIGHT,LTL
MCL1,MC CLENDON TRUCKING CO,TL
MTVL,MOUNTAIN VALLEY EXPRESS,TL
NMTF,N & M TRANSFER CO INC,LTL
NASH,NASHUA MOTOR EXPRESS INC,TL
NWTP,NATIONSWAY TRANSPORT INC,TL
NFL1,NATURAL FREIGHT LTD,LTL
NPME,NEW PENN MOTOR EXPRESS,SP
ODFL,OLD DOMINION FREIGHT LINE INC,LTL
OOE1,ONTARIO OHIO EXPRESS LTD,LTL
OVNT,OVERNITE TRANSPORTATION CO,LTL
PAIF,PATRIOT AIR FREIGHT,AIR
PAAF,PILOT AIR FREIGHT,TL
PITD,PITT-OHIO EXPRESS INC,LTL
PLRK,PLYMOUTH ROCK TRANSPORTATION,SP
POTX,POOLE - DIVISION OF SCHNEIDER,LTL
PRES,PRESTON TRUCKING CO,LTL
PTLP,PRO TRUCK LINES INC,SP
PYL1,PYLE TRANSPORT SERVICES INC,TL
RNLO,R & L CARRIERS INC,LTL
RKS1,"R K SERVICES, INC",AIR
RANB,R.B.X. INC.,LTL
RBWS,RAINBOW TRUCKING SERVICES INC,LTL
RBX1,RBX TRANSPORTATION INC,TL
RCTV,RC TRANSPORT,LTL
RDWY,ROADWAY EXPRESS,LTL
RPS,ROADWAY PACKAGE SYSTEM INC,TL
ROEE,ROBERTS EXPRESS,SP
ROEV,ROEHL TRANSPORT INC,TL
SAIA,SAIA MOTOR FREIGHT LINE INC,TL
SMXT,SMX TRANSPORT INC,LTL
SND1,SONIC DELIVERY SERVICE,LTL
SEFL,SOUTHEASTERN FREIGHT LINES INC,LTL
