SCAC,Ship Date,Origin City,Origin State,Origin Zip,Dest City,Dest State,Dest Zip,Weight,Volume,Miles, Freight Paid ,On-Time,Delivered Complete,Damage Free,Billed Accurately
FAKF,3/1/2015,ATLANTA,GA,30269,FORT WAYNE,IN,46808,22762,2147,625," $2,041.38 ",1,1,1,1
FTPC,3/1/2015,ATLANTA,GA,30269,CRANBURY,NJ,08512,22581,602,801," $3,283.27 ",1,1,1,1
FTPC,3/1/2015,ATLANTA,GA,30269,CARROLLTON,TX,75006,22584,679,779," $2,537.72 ",1,1,1,1
FTPC,3/1/2015,ATLANTA,GA,30269,CARROLLTON,TX,75006,22584,840,779," $2,537.72 ",1,1,1,1
FTPC,3/1/2015,ATLANTA,GA,30269,NEENAH,WI,54956,22674,602,903," $3,697.93 ",1,1,1,1
FTPC,3/1/2015,ATLANTA,GA,30269,CRANBURY,NJ,08512,22674,709,801," $3,283.27 ",1,1,0,1
HJBT,3/1/2015,ATLANTA,GA,30269,CRANBURY,NJ,08512,22445,2098,801," $3,283.27 ",0,1,1,1
PYLE,3/1/2015,ATLANTA,GA,30269,FLOWERY BRANCH,GA,30542,22584,1547,108, $759.20 ,1,1,1,1
CRSE,3/1/2015,CARROLLTON,TX,75006,PEACHTREE CITY,GA,30269,12368,1590,779," $2,537.72 ",1,1,1,1
TCSR,3/1/2015,CHICOPEE,MA,01020,FRAMINGHAM,MA,01702,12548,2017,80, $759.20 ,1,1,1,1
WSKT,3/1/2015,CHICOPEE,MA,01020,SOMERSWORTH,NH,03878,12267,1586,160, $759.20 ,1,1,1,1
CRSE,3/1/2015,FT WAYNE,IN,46808,SKOKIE,IL,60076,12328,1619,211, $759.20 ,1,1,1,1
CRSE,3/1/2015,FT WAYNE,IN,46808,BLOOMINGDALE,IL,60108,12368,1643,195, $759.20 ,1,1,1,1
CRSE,3/1/2015,FT WAYNE,IN,46808,VERNON HILLS,IL,60061,12474,1796,211, $759.20 ,1,0,1,1
ROEV,3/1/2015,FT WAYNE,IN,46808,HOWELL,MI,48843,12514,1834,150, $759.20 ,1,1,1,1
ARFW,3/1/2015,GREENSBORO,NC,27409,MIAMI,FL,33122,12513,1900,783," $2,550.62 ",1,1,1,1
TCSR,3/1/2015,HAMILTON,OH,45011,PEACHTREE CITY,GA,30269,12546,2095,492," $1,612.72 ",1,1,1,1
CRSE,3/1/2015,PAINESVILLE,OH,44077,RIVERSIDE,MO,64150,12569,2680,808," $2,721.93 ",1,1,1,1
PYLE,3/1/2015,PAINESVILLE,OH,44077,MILTON,PA,17847,12529,2342,280," $1,165.27 ",1,1,1,1
CRCR,3/1/2015,RANCHO CUCAMONGA,CA,91730,SALT LAKE CITY,UT,84125,12545,2560,670," $2,186.42 ",1,1,1,1
PYLE,3/1/2015,RANCHO CUCAMONGA,CA,91730,HAYWARD,CA,94544,12528,2089,382," $1,579.93 ",1,1,1,1
SAIA,3/1/2015,RANCHO CUCAMONGA,CA,91730,PHOENIX,AZ,85040,12545,2439,353," $1,462.04 ",1,1,1,1
TCSR,3/1/2015,RANCHO CUCAMONGA,CA,91730,HAMILTON,OH,45011,12556,2529,2137," $4,994.69 ",1,1,1,0
BSWS,3/2/2015,ATLANTA,GA,30269,CARROLLTON,TX,75006,20928,2118,779," $9,794.85 ",1,1,1,1
FMWT,3/2/2015,ATLANTA,GA,30269,HAGERSTOWN,MD,21740,8817,611,659," $6,514.57 ",1,1,1,0
HMES,3/2/2015,ATLANTA,GA,30269,RIVERSIDE,MO,64150,8817,921,818," $9,711.75 ",1,1,1,1
RBWS,3/2/2015,ATLANTA,GA,30269,CHICOPEE,MA,01020,8728,716,1011," $7,016.55 ",1,1,1,1
TXF1,3/2/2015,ATLANTA,GA,30269,RIVERSIDE,MO,64150,8817,773,818," $9,711.75 ",0,1,1,1
USXI,3/2/2015,ATLANTA,GA,30269,PHILADELPHIA,PA,19111,8728,555,804," $6,783.04 ",1,1,1,0
HMES,3/2/2015,FT WAYNE,IN,46808,FLOWERY BRANCH,GA,30542,9743,1491,547," $6,202.38 ",1,1,1,0
SWEY,3/2/2015,FT WAYNE,IN,46808,RIVERSIDE,MO,64150,8984,1778,581," $9,493.89 ",1,1,1,1
USXI,3/2/2015,FT WAYNE,IN,46808,FLOWERY BRANCH,GA,30542,9617,1606,547," $9,573.62 ",1,1,1,1
NMTF,3/2/2015,GREENFIELD,IN,46140,ARLINGTON HTS,IL,60005,10334,800,211," $5,798.10 ",1,1,1,1
TKMN,3/2/2015,GREENFIELD,IN,46140,FORT WAYNE,IN,46808,9082,1202,146," $5,735.21 ",1,1,1,1
USXI,3/2/2015,GREENFIELD,IN,46140,RIVERSIDE,MO,64150,9079,1036,7737," $6,111.41 ",1,1,1,1
USXI,3/2/2015,GREENFIELD,IN,46140,FORT WAYNE,IN,46808,9082,1074,146," $9,104.21 ",1,1,1,1
RBWS,3/2/2015,HAMILTON,OH,45011,PEACHTREE CITY,GA,30269,9081,1169,492," $6,090.08 ",1,1,1,1
CRSE,3/3/2015,ATLANTA,GA,30269,FORT WAYNE,IN,46808,20166,2135,625," $2,041.38 ",1,1,1,1
FAKF,3/3/2015,ATLANTA,GA,30269,FORT WAYNE,IN,46808,18868,2274,625," $2,041.38 ",1,1,0,1
FMWT,3/3/2015,ATLANTA,GA,30269,RENO,NV,89506,8055,820,2400," $12,293.53 ",1,1,0,1
FTPC,3/3/2015,ATLANTA,GA,30269,CRANBURY,NJ,08512,18738,729,801," $3,283.27 ",1,1,1,1
FTPC,3/3/2015,ATLANTA,GA,30269,CARROLLTON,TX,75006,18833,806,779," $2,537.72 ",1,1,1,1
FTPC,3/3/2015,ATLANTA,GA,30269,CARROLLTON,TX,75006,18859,967,779," $2,537.72 ",1,1,1,1
FTPC,3/3/2015,ATLANTA,GA,30269,NEENAH,WI,54956,18865,729,903," $3,697.93 ",1,1,1,1
FTPC,3/3/2015,ATLANTA,GA,30269,CRANBURY,NJ,08512,18865,836,801," $3,283.27 ",1,1,1,1
HJBT,3/3/2015,ATLANTA,GA,30269,CRANBURY,NJ,08512,18732,2225,801," $3,283.27 ",1,1,0,1
HMES,3/3/2015,ATLANTA,GA,30269,ATLANTA,GA,30318,8276,822,36," $2,019.09 ",0,1,1,1
MCL1,3/3/2015,ATLANTA,GA,30269,CHARLOTTE,NC,28273,20163,2407,270, $759.20 ,1,1,0,1
MSCC,3/3/2015,ATLANTA,GA,30269,RIVERSIDE,MO,64150,20166,747,818," $9,675.82 ",1,1,1,1
PYLE,3/3/2015,ATLANTA,GA,30269,FLOWERY BRANCH,GA,30542,18738,1674,108, $759.20 ,1,1,1,1
USXI,3/3/2015,ATLANTA,GA,30269,CRANBURY,NJ,08512,8170,628,801," $6,585.32 ",1,1,1,1
USXI,3/3/2015,ATLANTA,GA,30269,NORCROSS,GA,30093,8245,893,36," $2,092.98 ",1,1,0,1
CRSE,3/3/2015,CARROLLTON,TX,75006,PEACHTREE CITY,GA,30269,19037,1717,779," $2,537.72 ",1,1,0,1
TKMN,3/3/2015,CARROLLTON,TX,75006,DENVER,CO,80223,8277,962,773," $2,269.95 ",1,1,1,1
EXLA,3/3/2015,CHICOPEE,MA,01020,NEENAH,WI,54956,8277,794,1084, $655.90 ,1,1,1,1
TCAM,3/3/2015,CHICOPEE,MA,01020,FORT WAYNE,IN,46808,20417,750,752," $2,450.70 ",1,1,1,1
TCSR,3/3/2015,CHICOPEE,MA,01020,FRAMINGHAM,MA,01702,19058,2144,80, $759.20 ,1,1,0,1
WSKT,3/3/2015,CHICOPEE,MA,01020,SOMERSWORTH,NH,03878,19161,1713,160, $759.20 ,1,1,1,1
USXI,3/3/2015,CRANBURY,NJ,08512,KENT,WA,98032,8382,833,2742, $906.08 ,1,1,1,1
CRCR,3/3/2015,FT WAYNE,IN,46808,ARLINGTON HTS,IL,60005,20799,1782,211, $759.20 ,1,1,1,1
CRSE,3/3/2015,FT WAYNE,IN,46808,SKOKIE,IL,60076,19161,1746,211, $759.20 ,1,1,1,1
CRSE,3/3/2015,FT WAYNE,IN,46808,VERNON HILLS,IL,60061,19161,1923,211, $759.20 ,1,1,1,1
CRSE,3/3/2015,FT WAYNE,IN,46808,BLOOMINGDALE,IL,60108,20029,1770,195, $759.20 ,1,1,1,1
CRSE,3/3/2015,FT WAYNE,IN,46808,OMAHA,NE,68127,20489,1619,602," $1,967.25 ",1,1,1,1
FTPC,3/3/2015,FT WAYNE,IN,46808,CHICOPEE,MA,01020,20738,1744,745," $2,428.14 ",1,1,1,1
HJBT,3/3/2015,FT WAYNE,IN,46808,FLOWERY BRANCH,GA,30542,20669,1675,547," $1,789.99 ",1,1,1,1
MCL1,3/3/2015,FT WAYNE,IN,46808,GREENFIELD,IN,46140,20649,2280,146, $759.20 ,1,1,1,1
ODFL,3/3/2015,FT WAYNE,IN,46808,RIVERSIDE,MO,64150,8310,1543,581," $1,899.57 ",1,1,1,1
ROEV,3/3/2015,FT WAYNE,IN,46808,HOWELL,MI,48843,19748,1961,150, $759.20 ,1,1,1,1
USXI,3/3/2015,FT WAYNE,IN,46808,VERNON HILLS,IL,60061,8310,878,86," $2,044.42 ",1,1,1,1
BSWS,3/3/2015,GREENFIELD,IN,46140,BLOOMINGDALE,IL,60108,20738,2238,277," $5,798.10 ",1,1,1,1
VIKN,3/3/2015,GREENFIELD,IN,46140,TERRE HAUTE,IN,47805,8310,233,197," $2,131.86 ",1,1,1,1
ARFW,3/3/2015,GREENSBORO,NC,27409,MIAMI,FL,33122,19183,2027,783," $2,550.62 ",1,1,1,1
ROEV,3/3/2015,GREENSBORO,NC,27409,BEDFORD,VA,24523,20799,1834,99, $759.20 ,1,1,0,1
HMES,3/3/2015,HAMILTON,OH,45011,DENVER,CO,80239,8558,828,1198, $715.94 ,1,1,1,1
TCSR,3/3/2015,HAMILTON,OH,45011,PEACHTREE CITY,GA,30269,19162,2222,492," $1,612.72 ",1,1,1,1
CRSE,3/3/2015,PAINESVILLE,OH,44077,RIVERSIDE,MO,64150,19161,2807,808," $2,721.93 ",1,1,0,1
LNDA,3/3/2015,PAINESVILLE,OH,44077,HAMILTON,OH,45011,8466,1198,242," $6,035.66 ",1,1,1,0
PYLE,3/3/2015,PAINESVILLE,OH,44077,MILTON,PA,17847,19183,2469,280," $1,165.27 ",1,1,1,1
TCSR,3/3/2015,PAINESVILLE,OH,44077,LOWELL,IN,46356,20490,2619,313," $1,299.43 ",1,1,1,1
TNT1,3/3/2015,PAINESVILLE,OH,44077,HAMILTON,OH,45011,20582,2356,242," $1,010.79 ",1,1,1,1
USXI,3/3/2015,PAINESVILLE,OH,44077,HAMILTON,OH,45011,8467,1432,242," $5,963.74 ",1,1,1,1
CRCR,3/3/2015,RANCHO CUCAMONGA,CA,91730,SALT LAKE CITY,UT,84125,19161,2687,670," $2,186.42 ",1,1,1,1
ODFL,3/3/2015,RANCHO CUCAMONGA,CA,91730,PHOENIX,AZ,85040,8378,1219,353," $1,462.04 ",1,1,1,1
PYLE,3/3/2015,RANCHO CUCAMONGA,CA,91730,HAYWARD,CA,94544,19869,2216,382," $1,579.93 ",1,1,1,1
SAIA,3/3/2015,RANCHO CUCAMONGA,CA,91730,PHOENIX,AZ,85040,19161,2566,353," $1,462.04 ",1,1,0,1
TCSR,3/3/2015,RANCHO CUCAMONGA,CA,91730,HAMILTON,OH,45011,20028,2656,2137," $4,994.69 ",1,1,0,1
BSWS,3/4/2015,ATLANTA,GA,30269,CARROLLTON,TX,75006,44473,2245,779," $9,794.85 ",1,1,1,1
CRCR,3/4/2015,ATLANTA,GA,30269,NEENAH,WI,54956,44671,2406,903," $3,697.93 ",1,1,1,0
CRSE,3/4/2015,ATLANTA,GA,30269,CHARLOTTE,NC,28273,44622,1673,270, $759.20 ,1,1,0,0
CRSE,3/4/2015,ATLANTA,GA,30269,BIRMINGHAM,AL,35233,44648,1546,148, $759.20 ,1,1,1,1
FMWT,3/4/2015,ATLANTA,GA,30269,HAGERSTOWN,MD,21740,44433,738,659," $6,514.57 ",1,1,1,1
FTPC,3/4/2015,ATLANTA,GA,30269,NEENAH,WI,54956,44659,969,903," $3,697.93 ",1,1,1,1
FTPC,3/4/2015,ATLANTA,GA,30269,GREENSBORO,NC,27409,44671,717,358," $1,482.36 ",1,1,1,1
HMES,3/4/2015,ATLANTA,GA,30269,RIVERSIDE,MO,64150,44438,1048,818," $9,711.75 ",1,1,1,1
MTVL,3/4/2015,ATLANTA,GA,30269,CHARLOTTE,NC,28273,44622,892,270," $2,198.84 ",1,1,0,1
RBWS,3/4/2015,ATLANTA,GA,30269,CHICOPEE,MA,01020,44433,843,1011," $7,016.55 ",1,1,1,1
